area,areasize,areatype,Bedrooms,price
Patancheru,1470.0,super area,3,47.0
Bandlaguda Jagir,1250.0,carpet area,2,105.0
Vanasthalipuram,1150.0,carpet area,2,50.0
Nagole,900.0,carpet area,2,36.0
Appa junction,1380.0,super area,3,79.0
Gachibowli,1742.0,super area,3,140.0
Kismatpur,2500.0,super area,4,125.0
Moula Ali,725.0,carpet area,2,16.0
Hyderabad-Karimnagar Highway,1100.0,carpet area,2,26.0
,1150.0,carpet area,2,68.0
Serilingampally,1070.0,super area,2,60.0
Hayathnagar,1250.0,carpet area,2,38.0
Appa junction,862.0,carpet area,2,45.0
Badangpet,106.0,carpet area,2,74.0
Dammaiguda,1503.0,super area,2,72.0
Saket,589.0,carpet area,2,37.0
Gachibowli,1250.0,super area,2,90.0
Medchal,1150.0,carpet area,3,62.0
,300.0,carpet area,,39.0
Humayun Nagar,1100.0,super area,3,48.0
Kistareddypet,1130.0,carpet area,2,33.0
Bachupally,607.0,carpet area,1,28.5
Beeramguda,1050.0,super area,2,35.0
Nallagandla,1430.0,super area,3,114.99999999999999
Nallagandla,900.0,carpet area,2,85.0
Nizampet,1000.0,carpet area,2,40.0
Alkapur Township,1160.0,carpet area,2,52.2
Mehdipatnam,970.0,carpet area,2,44.0
Neredmet,1650.0,super area,3,100.0
Miyapur,1210.0,super area,2,42.4
Gachibowli,1492.0,super area,2,134.0
Pragathi Nagar,1350.0,carpet area,3,69.0
Miyapur,1000.0,carpet area,3,63.0
Beeramguda,1600.0,carpet area,3,114.99999999999999
Dammaiguda,2020.0,carpet area,3,108.0
Bachupally,1150.0,carpet area,2,56.0
Kondapur,1200.0,carpet area,2,68.0
Bowrampet,1700.0,carpet area,3,110.00000000000001
Kushaiguda,1120.0,super area,2,48.0
Beeramguda,2600.0,carpet area,4,120.0
Mallampet,950.0,carpet area,2,32.0
Kollur,900.0,carpet area,2,25.8
Vijaynagar Colony,900.0,super area,2,38.0
Bandlaguda Jagir,1000.0,carpet area,2,55.0
Narsingi,1314.0,super area,2,130.0
Kousalya Colony ,1800.0,carpet area,3,72.0
Isnapur,770.0,super area,2,26.0
Mallampet,1150.0,super area,2,37.0
LB Nagar,780.0,carpet area,2,36.0
Income Tax Colony,2025.0,super area,2,129.0
Kondapur,1385.0,super area,3,75.0
Gajularamaram,3000.0,carpet area,6,135.0
Gachibowli,1435.0,super area,3,98.0
Miyapur,1148.0,carpet area,2,63.0
Hyder Shah Kote,876.0,carpet area,3,43.8
Gachibowli,890.0,carpet area,2,95.0
Narsingi,1670.0,super area,3,100.0
APHB Colony-Moula Ali,1521.0,super area,3,90.0
Balapur,800.0,carpet area,1,25.0
Gachibowli,1690.0,super area,3,112.00000000000001
Nizampet,1565.0,carpet area,3,105.0
Kokapet,2040.0,carpet area,3,110.00000000000001
Adibatla,1255.0,super area,3,36.5
Nanakram Guda,1790.0,carpet area,3,125.0
Nacharam,500.0,carpet area,1,25.0
Vasanth Nagar Colony,1130.0,super area,2,45.0
Sun City,1506.0,super area,3,70.0
Kondapur,1600.0,carpet area,3,85.0
Sathyanarayanapuram,3000.0,carpet area,2,135.0
Registration Colony,1150.0,carpet area,3,41.6
Kondakal,2600.0,carpet area,3,80.0
Bowrampet,2650.0,super area,3,145.0
Peerzadiguda,900.0,super area,2,61.5
Kondapur,1200.0,carpet area,2,69.0
Madinaguda,850.0,carpet area,2,52.0
Old Alwal,850.0,carpet area,2,45.0
Pragathi Nagar,950.0,carpet area,2,34.0
Secunderabad,1300.0,carpet area,2,85.0
Kukatpally,900.0,carpet area,2,42.0
Kukatpally,1180.0,carpet area,2,52.0
Manikonda,967.0,carpet area,2,40.0
Injapur,907.0,carpet area,2,45.0
Gajularamaram,2000.0,super area,4,59.0
Kondapur,1600.0,carpet area,3,90.0
Anjaneya Nagar Moosapet,880.0,carpet area,2,39.5
Nizampet,975.0,carpet area,2,35.0
Chandanagar,1150.0,super area,2,75.0
Nallagandla,1245.0,super area,2,95.0
Miyapur,1250.0,carpet area,3,82.0
Raj Bhawan Road,1187.0,super area,2,60.0
Miyapur,860.0,carpet area,2,55.0
Sai Prasanna Enclave,1503.0,carpet area,3,77.5
Toli Chowki,750.0,super area,2,31.9
Pragathi Nagar,1105.0,super area,2,55.0
NGO Colony,972.0,carpet area,3,120.0
Bachupally,1055.0,carpet area,2,43.0
Manikonda,1680.0,carpet area,3,75.0
Uppal,808.0,carpet area,2,35.0
Uppal,650.0,carpet area,2,28.5
HAL Colony,1475.0,super area,3,50.0
Lalitha Nagar-Adikmet,800.0,carpet area,2,35.0
Bandlaguda Jagir,945.0,carpet area,2,30.5
Khizra Enclave,960.0,carpet area,2,43.0
Shamirpet,1305.0,carpet area,3,35.0
Kompally,1115.0,super area,2,34.0
Badangpet,1350.0,carpet area,2,65.0
Alkapur Township,1425.0,carpet area,3,65.0
Kondapur,1800.0,super area,3,97.2
Bandam Kommu,1600.0,carpet area,3,136.0
Sama Nagar,900.0,carpet area,2,42.0
Kompally,2517.0,carpet area,4,120.0
Manikonda,1175.0,carpet area,2,58.0
Shamirpet,1000.0,carpet area,2,22.0
Beeramguda,1300.0,carpet area,2,90.0
Miyapur,850.0,carpet area,2,34.0
Kukatpally,1180.0,carpet area,2,63.5
Kondapur,1100.0,carpet area,2,65.0
Bachupally,1300.0,carpet area,3,49.0
Sainikpuri,1600.0,carpet area,3,80.0
Bachupally,1100.0,carpet area,2,48.0
Kukatpally,1100.0,carpet area,2,60.0
Kondapur,1400.0,carpet area,3,89.0
Boduppal,1000.0,carpet area,2,75.0
Manikonda,900.0,carpet area,2,50.0
Pragathi Nagar,900.0,carpet area,2,53.0
Chandanagar,1190.0,carpet area,2,50.0
Gandi Maisamma,2700.0,super area,5,90.0
Gachibowli,1460.0,carpet area,3,90.0
Bachupally,2000.0,carpet area,3,85.0
Bandlaguda Jagir,1215.0,carpet area,3,78.0
Madhapur,1511.0,super area,3,100.0
Suchitra Circle,1155.0,carpet area,3,55.0
Nizampet,1100.0,carpet area,2,45.0
Uppal,990.0,carpet area,2,82.0
Narsingi,1320.0,carpet area,3,112.00000000000001
Vijaya Nagar Colony,1100.0,carpet area,2,53.0
Miyapur,1080.0,carpet area,2,64.0
ECIL,500.0,carpet area,1,14.0
Bandari Layout,1000.0,carpet area,2,45.0
Kukatpally,1149.0,super area,2,89.0
Manikonda,1855.0,super area,3,85.0
Kompally,900.0,carpet area,2,45.0
Nallagandla,1600.0,super area,3,130.0
Gachibowli,1050.0,carpet area,3,110.00000000000001
Boduppal,1000.0,carpet area,2,75.0
Manikonda,1188.0,super area,2,60.0
Lanco Hills,1575.0,carpet area,3,130.0
Chikoti Gardens,830.0,carpet area,2,55.0
Nanal nagar,1400.0,carpet area,3,70.0
Pragathi Nagar,1242.0,carpet area,3,48.0
Dilsukh Nagar,700.0,carpet area,2,24.0
Appa junction,1050.0,carpet area,3,90.0
Masab Tank,1510.0,carpet area,3,75.0
Kukatpally,950.0,super area,2,45.0
Dammaiguda,1200.0,carpet area,2,66.0
Nagaram,900.0,carpet area,2,33.0
Patancheru,1350.0,carpet area,3,120.0
Sanath Nagar,550.0,carpet area,1,26.4
Chandanagar,1070.0,carpet area,2,39.0
Kompally,1810.0,super area,3,78.0
Patancheru,1900.0,carpet area,3,40.0
Beeramguda,1030.0,carpet area,2,36.0
Pocharam,1080.0,carpet area,2,30.0
Medchal,800.0,carpet area,2,32.0
Bandari Layout,900.0,carpet area,2,35.7
Alkapur Township,1200.0,carpet area,2,60.0
Miyapur,1215.0,carpet area,2,65.0
,1260.0,carpet area,3,93.0
Matrusri Nagar,1658.0,super area,3,100.0
Sun City,1800.0,carpet area,4,130.0
Gachibowli,900.0,carpet area,2,79.0
Medchal,1650.0,carpet area,4,78.0
Kompally,1175.0,super area,2,56.4
Dammaiguda,1050.0,carpet area,2,60.0
Miyapur,1200.0,carpet area,3,82.0
Neknampur,1745.0,carpet area,3,96.0
Attapur,2300.0,carpet area,3,96.0
Beeramguda,790.0,carpet area,2,32.0
Kondapur,1469.0,carpet area,3,95.0
Kukatpally,650.0,carpet area,6,98.0
Lalapet,1170.0,carpet area,5,135.0
Peerzadiguda,1170.0,carpet area,2,79.5
Sun City,900.0,carpet area,2,30.0
Nallagandla,1300.0,carpet area,2,88.0
Manikonda,1185.0,carpet area,2,70.0
Rajendra Nagar,3500.0,carpet area,6,125.0
,1050.0,carpet area,2,59.0
Miyapur,1077.0,super area,2,49.5
Upparpally,1695.0,carpet area,4,59.0
Attapur,1275.0,carpet area,3,69.5
K P H B Phase 3,1050.0,carpet area,2,61.0
Nizampet,950.0,carpet area,2,40.0
Nallagandla,1000.0,carpet area,2,67.0
Lingampally-Serilingampally,600.0,carpet area,1,20.0
Golden Habitat,1000.0,carpet area,2,67.0
K P H B Phase 6,1080.0,super area,2,61.0
Bandlaguda Jagir,1100.0,carpet area,2,56.0
Pragathi Nagar,1090.0,carpet area,2,47.0
Attapur,1325.0,carpet area,3,72.0
New Malakpet,1875.0,super area,3,103.0
Beeramguda,994.0,carpet area,2,34.5
Nacharam,1260.0,carpet area,5,105.0
Mayuri Nagar,1075.0,super area,2,61.0
Tarnaka,1200.0,carpet area,3,98.0
Hyder Nagar,1430.0,carpet area,3,78.0
Mohan Nagar,900.0,carpet area,2,40.0
Nizampet,1100.0,carpet area,2,57.0
Vasanth Nagar,1065.0,carpet area,2,68.5
Karmanghat,1200.0,carpet area,3,53.0
Kushaiguda,1000.0,carpet area,3,58.0
Bandlaguda Jagir,1100.0,carpet area,2,110.00000000000001
Gachibowli,1000.0,carpet area,2,68.0
Nizampet,1415.0,carpet area,3,98.0
Bachupally,2100.0,carpet area,4,140.0
Chandanagar,1098.0,carpet area,2,60.0
Dammaiguda,850.0,carpet area,2,30.0
Suchitra Circle,1535.0,carpet area,3,65.0
Kukatpally,1235.0,carpet area,2,84.5
Kondapur,1450.0,carpet area,3,140.0
Miyapur,1490.0,super area,3,67.0
Manikonda,1050.0,carpet area,2,50.0
Nizampet,1150.0,carpet area,2,38.0
Quthbullapur,750.0,super area,2,32.0
Alkapur Township,1125.0,carpet area,2,59.0
Nallagandla,1300.0,carpet area,3,125.0
Patrika Nagar,1200.0,carpet area,2,105.0
Uppal,1150.0,carpet area,3,63.0
Beeramguda,750.0,carpet area,2,32.0
Manikonda,1450.0,carpet area,3,81.0
Ameerpet,1020.0,carpet area,3,62.0
Kapra,1050.0,carpet area,2,50.0
Nagole,1375.0,carpet area,3,65.0
Bachupally,985.0,carpet area,2,47.4
Miyapur,1094.0,carpet area,2,81.0
Hafeezpet,1150.0,carpet area,2,98.0
Dammaiguda,1170.0,super area,2,67.0
Friends Colony,1050.0,carpet area,2,50.0
Begumpet,2014.0,carpet area,3,140.0
Alkapur Township,1237.0,carpet area,2,88.0
Badangpet,950.0,super area,2,36.0
Gachibowli,960.0,carpet area,2,82.0
Lalapet,3500.0,carpet area,4,135.0
Chanda Nagar,792.0,carpet area,2,35.0
Narsingi,1308.0,carpet area,2,76.9
Alwal,400.0,carpet area,1,13.0
Ramakrishnapuram-Neredmet,846.0,carpet area,4,72.0
Mayuri Nagar,1075.0,super area,2,61.0
Pragathi Nagar,1000.0,carpet area,2,47.0
Miyapur,1070.0,super area,2,46.0
Gandhamguda,1700.0,carpet area,3,90.0
Alkapur Township,1155.0,super area,2,52.0
Baba Nagar,1000.0,carpet area,2,44.0
Venkatapuram,865.0,carpet area,2,24.5
Apurupa Colony,400.0,carpet area,1,15.0
Sai Nagar-Kukatpally,1073.0,super area,2,45.0
Ashok Nagar,1677.0,carpet area,3,149.0
HMT Swarnapuri Colony,950.0,carpet area,2,48.0
Bandlaguda Jagir,1031.0,carpet area,2,54.0
Nagaram,1200.0,carpet area,2,80.0
Nagaram,1200.0,carpet area,2,66.0
Toopranpet,700.0,carpet area,2,58.0
Bachupally,1185.0,super area,2,40.0
Nallagandla,875.0,carpet area,2,99.0
Aminpur,1200.0,carpet area,2,96.0
Kondapur,1210.0,carpet area,2,62.0
Cyberabad,1000.0,carpet area,2,93.0
Shamirpet,1500.0,carpet area,3,27.0
Sangareddy,605.0,super area,2,16.0
Barkatpura,1400.0,carpet area,3,105.0
Kondapur,1110.0,carpet area,2,65.0
Kukatpally,700.0,carpet area,2,50.0
Chandanagar,1120.0,carpet area,2,54.0
Quthbullapur,1190.0,super area,2,53.5
Miyapur,1110.0,super area,2,70.0
Nallagandla,1700.0,carpet area,3,122.0
Uppal,1000.0,carpet area,2,72.0
Nallagandla,1960.0,super area,3,145.0
Hanuman Nagar-Boduppal,142.0,carpet area,2,85.0
Miyapur,1094.0,carpet area,2,75.0
Kukatpally Housing Board Colony,1150.0,carpet area,2,75.0
Saroornagar,1250.0,carpet area,3,110.00000000000001
Begumpet,1500.0,carpet area,3,90.0
Puppalaguda,1287.0,super area,2,56.0
Gachibowli,1200.0,carpet area,3,55.0
Adarsh Nagar Colony-Nagole,910.0,carpet area,2,35.0
Moosarambagh,1050.0,carpet area,2,75.0
Gachibowli,1100.0,carpet area,2,110.00000000000001
Suchitra Circle,1100.0,carpet area,2,49.0
Nizampet,1000.0,carpet area,3,48.0
Lalitha Nagar-Nagole,1350.0,super area,1,95.0
Kondapur,1500.0,carpet area,3,92.0
Alluri Seetaramaraju Nagar,1030.0,super area,2,45.0
Nizampet,1100.0,carpet area,2,30.0
Kukatpally,775.0,carpet area,2,45.0
Gajularamaram,1676.0,super area,3,56.8
Aushapur,2194.0,carpet area,4,75.0
Pati,1400.0,carpet area,2,45.0
Wadakpally,2080.0,carpet area,4,90.0
Kollur,1100.0,carpet area,2,47.5
Ghatkesar,12600.0,carpet area,3,80.0
Shadnagar,775.0,carpet area,2,36.0
Pragathi Nagar,1200.0,super area,2,48.0
Kukatpally,1350.0,super area,3,120.0
ECIL,825.0,super area,2,40.0
LB Nagar,1800.0,super area,4,120.0
Medchal,2700.0,super area,4,92.0
Dammaiguda,980.0,super area,2,60.0
Snehapuri Colony,1122.0,carpet area,2,72.0
Jagadgiri Gutta,720.0,super area,2,55.0
Puppalaguda,1200.0,super area,2,52.0
Moula Ali,1135.0,super area,2,48.0
Hayathnagar,1503.0,super area,2,65.0
Ramnagar Gundu,180.0,carpet area,2,36.0
Hasmathpet,1480.0,super area,3,75.0
Pocharam,1200.0,super area,3,45.0
Almasguda,1350.0,carpet area,2,80.0
Toli Chowki,2300.0,super area,3,120.0
Kapra,1300.0,carpet area,3,70.0
Ashok Nagar-Ramachandra Puram,815.0,super area,2,45.0
Hasthinapuram,1454.0,super area,3,100.0
Meerpet,640.0,carpet area,1,25.0
Toli Chowki,870.0,super area,2,45.0
Nizampet,1050.0,super area,2,39.0
Alkapuri,1120.0,super area,2,72.8
Vanasthalipuram,1570.0,super area,3,114.99999999999999
Murad Nagar,1000.0,super area,2,22.0
Indresham,1200.0,carpet area,2,72.5
Jubilee Hills,900.0,super area,4,90.0
Jubilee Hills,1650.0,super area,3,148.0
Vinayak Nagar-Hayathnagar,22.0,carpet area,2,38.0
Osman Nagar,1040.0,super area,2,145.0
Gajularamaram,1800.0,super area,2,75.0
Sainikpuri,1460.0,super area,3,75.0
Saidabad Colony,70.0,carpet area,2,40.0
Uppal,1080.0,super area,1,48.0
Vasanth Nagar Colony,1350.0,carpet area,2,79.0
Kishan Bagh,940.0,super area,2,35.0
Toli Chowki,1095.0,super area,2,42.0
,1100.0,super area,2,25.0
Nizampet,1460.0,super area,3,65.6
Mallapur,1098.0,super area,2,72.0
Santosh Nagar,896.0,carpet area,2,48.0
Moula Ali,990.0,super area,2,45.0
Dammaiguda,1700.0,super area,3,80.0
Kothapet,650.0,carpet area,2,30.0
Trimulgherry,1650.0,super area,3,55.0
Moti Nagar,1118.0,super area,2,65.0
Kondapur,1650.0,super area,3,90.0
Hafeezpet,1020.0,carpet area,2,59.5
Madhapur,1130.0,super area,2,55.0
LB Nagar,1200.0,super area,2,65.0
Murad Nagar,525.0,carpet area,2,25.0
Bandlaguda Jagir,1125.0,super area,2,41.0
Attapur,1400.0,super area,3,56.0
Nacharam,1100.0,carpet area,2,68.0
Nagaram,1000.0,super area,2,35.0
Rakshapuram,100.0,carpet area,1,60.0
Boduppal,1250.0,carpet area,2,90.0
Kukatpally,1300.0,carpet area,3,90.0
Jagathgiri Gutta,720.0,super area,3,42.0
Ambedkar Nagar-Boduppal,720.0,carpet area,1,55.0
Shaikpet,1435.0,super area,3,90.0
Kardhanur,1650.0,carpet area,3,30.0
Srinagar Colony,1570.0,super area,3,100.0
Pragathi Nagar,1035.0,super area,2,48.0
Miyapur,500.0,carpet area,2,35.0
Pragathi Nagar,1030.0,carpet area,2,45.0
Rampally,2000.0,super area,4,75.0
Saroornagar,384.0,carpet area,1,20.0
Ramnagar Gundu,1000.0,super area,2,39.0
Amberpet,845.0,super area,2,38.0
Yella Reddy Guda,925.0,super area,2,55.0
Tirumala Nagar Colony,1215.0,super area,2,58.0
Murad Nagar,900.0,carpet area,3,45.0
Allwyn Colony,900.0,carpet area,2,48.0
Gandhi Nagar,1670.0,carpet area,4,120.0
Kalyan Nagar,1550.0,super area,3,120.0
Malakpet,970.0,carpet area,2,37.5
,980.0,carpet area,2,20.0
Sainathapuram,900.0,carpet area,2,40.0
Kothapet,1407.0,super area,3,96.0
Banjara Hills,1500.0,carpet area,3,98.0
Nacharam,590.0,super area,2,30.0
Kondapur,1800.0,carpet area,3,100.0
Bagh Lingampally,300.0,super area,1,18.0
Puppalaguda,1330.0,super area,2,65.0
Saroornagar,470.0,carpet area,1,20.0
Saroornagar,1083.0,super area,2,60.0
,540.0,carpet area,1,20.0
Uppal,1200.0,super area,2,50.0
Sadashivpet,150.0,carpet area,2,32.0
Nallagandla,1180.0,carpet area,3,74.5
Velimela,1040.0,carpet area,3,39.0
Meerpet,1197.0,super area,4,105.0
Pedda Amberpet,2184.0,carpet area,3,120.0
Ibrahimpatnam,2900.0,carpet area,3,130.0
Yapral,1273.0,super area,2,58.6
Uppal,1000.0,carpet area,2,48.0
Manikonda,768.0,carpet area,2,45.0
Yapral,1160.0,carpet area,2,50.0
Ghatkesar,950.0,carpet area,2,49.0
Gurram Guda,1350.0,carpet area,2,62.0
Pati,1306.0,super area,2,52.2
Gangaram,980.0,carpet area,2,37.0
Chandanagar,450.0,carpet area,1,26.0
Pragathi Nagar,1020.0,super area,2,43.5
Boduppal,850.0,carpet area,2,85.0
Uppuguda,50.0,super area,2,12.0
Saidabad Colony,900.0,carpet area,2,40.0
Hafeez Baba Nagar North,850.0,carpet area,3,25.0
Miyapur,1200.0,super area,2,54.0
B N Reddy Nagar,110.0,carpet area,3,81.0
Vijaya Nagar Colony,1000.0,super area,2,35.0
Vanasthalipuram,870.0,carpet area,2,38.0
Kompally,1080.0,super area,4,70.0
,1000.0,carpet area,2,30.0
Hitech City,1050.0,carpet area,2,70.0
Miyapur,1000.0,carpet area,2,48.0
Shamirpet,1970.0,carpet area,3,75.0
Mallareddy Nagar,1100.0,super area,2,50.0
Nagole,900.0,carpet area,2,40.0
Saroornagar,756.0,super area,1,60.0
Kothur,1890.0,super area,2,45.0
Maheshwaram,1528.0,super area,3,130.0
Pragathi Nagar,1220.0,super area,2,46.0
Attapur,1000.0,carpet area,2,55.0
Vijaynagar Colony,1200.0,carpet area,2,78.0
Kowkur,1500.0,super area,3,52.0
,143.0,carpet area,2,25.0
Manikonda,1550.0,super area,3,65.0
Manikonda,1135.0,super area,2,45.0
Charminar,450.0,super area,1,9.0
Uppal,1050.0,super area,2,52.0
Gachibowli,1000.0,super area,2,60.0
Saroor Nagar East,1098.0,super area,2,55.0
Ganesh Nagar-Nagole,1425.0,carpet area,3,65.0
Isnapur,1323.0,super area,2,70.0
Kapra,1000.0,super area,2,48.0
Bandlaguda,1733.0,super area,3,98.0
Upparpally,1000.0,super area,2,30.0
Mehdipatnam,1358.0,super area,3,80.0
Krishna Reddy Pet,611.0,super area,1,21.0
Addagutta Society,1550.0,super area,3,86.0
Tukkuguda,2000.0,carpet area,3,135.0
Isnapur,1197.0,super area,2,75.0
Kukatpally,1112.0,super area,2,55.0
Sai Nagar-Kukatpally,1000.0,carpet area,2,45.0
,1600.0,carpet area,3,90.0
Nallagandla,730.0,carpet area,2,62.0
Chilka Nagar,2850.0,super area,3,145.0
Chandanagar,1105.0,super area,3,53.2
Shalibanda,1300.0,super area,3,41.0
Karimnagar,3000.0,super area,3,100.0
Toli Chowki,1480.0,super area,4,75.0
P&T Colony,1600.0,carpet area,4,84.0
Moinabad,1100.0,carpet area,4,87.0
Narapally,1584.0,super area,2,75.0
Gachibowli,1460.0,carpet area,3,134.0
Vanasthalipuram,1647.0,super area,3,95.0
Patelguda,2100.0,super area,3,68.0
Siddarth Nagar,1000.0,super area,2,45.0
Lingampally-Serilingampally,1100.0,carpet area,2,70.0
Miyapur,1430.0,super area,3,75.0
Goshamahal,1650.0,super area,3,80.0
Sainikpuri,1200.0,carpet area,3,82.8
Madhapur,1475.0,super area,3,85.0
Kukatpally,1376.0,super area,3,75.0
Kothapet,725.0,super area,2,38.9
Himayatnagar,900.0,super area,5,78.0
Turkayamjal,975.0,carpet area,2,38.0
Karwan,900.0,super area,2,26.5
Gangaram,1140.0,carpet area,3,35.0
Munganoor,1125.0,super area,2,62.0
Rampally,1197.0,super area,2,60.0
Kapra,1159.0,super area,2,46.0
Yakutpura,105.0,carpet area,8,75.0
Yadagirigutta,121.0,super area,2,2.5
Falaknuma,900.0,carpet area,2,28.0
Alwal,1503.0,super area,4,125.0
Gajularamaram,740.0,super area,1,26.5
Rodamestri Nagar,720.0,super area,2,28.0
Borabanda,900.0,super area,2,43.0
Uppal,1200.0,super area,2,94.8
Mustafa Hills,450.0,super area,1,16.0
Gajularamaram,1175.0,carpet area,2,42.0
Alakapur,1275.0,carpet area,2,58.0
Isnapur,2600.0,carpet area,6,90.0
Chintal,100.0,carpet area,2,90.0
Karmanghat,1330.0,super area,3,70.0
Narsingi,1850.0,carpet area,3,100.0
Beeramguda,760.0,super area,2,28.0
Mallika Arjun Nagar,1000.0,carpet area,2,37.0
Pragathi Nagar,1090.0,super area,2,45.0
Chengicherla,900.0,carpet area,2,60.0
Malkajgiri,1350.0,carpet area,2,86.0
Malakpet,1000.0,super area,2,30.0
Miyapur,1285.0,super area,3,68.0
Bachupally,1700.0,carpet area,3,65.0
Bharat Nagar,1180.0,super area,3,60.0
Outer Ring Road,1800.0,carpet area,3,125.0
Kothapet,1080.0,super area,4,120.0
Aminpur,1200.0,super area,2,90.0
Mallapur,1431.0,super area,4,75.0
Kushaiguda,160.0,carpet area,8,130.0
Jalapalli,1080.0,super area,3,54.0
NCL Colony,1000.0,super area,2,110.00000000000001
Cherlapalli,1150.0,super area,2,62.0
Almasguda,999.0,carpet area,2,62.5
Kompally,1160.0,carpet area,2,45.0
Nacharam,1450.0,super area,3,86.0
Kothapet,800.0,carpet area,2,40.0
Abdullapurmet,360.0,super area,1,6.0
Gandhi Nagar,2520.0,super area,6,78.0
Appa junction,1200.0,carpet area,3,85.0
,1834.0,carpet area,3,82.0
Jagadgiri Gutta,1200.0,super area,3,52.0
Jagadgiri Gutta,1200.0,super area,3,52.0
Asif Nagar,1080.0,super area,4,110.00000000000001
Beeramguda,1205.0,super area,2,48.0
Kollur,819.0,carpet area,2,35.0
Banjara Hills,1750.0,super area,3,120.0
Pragathi Nagar,997.0,carpet area,2,38.0
Kukatpally,962.0,super area,2,56.0
Nallagandla,1664.0,super area,3,96.5
Gandhinagar,1090.0,super area,2,55.0
Hafeezpet,1660.0,carpet area,3,110.00000000000001
Subhash Nagar,1100.0,super area,2,45.0
Ruby Block,1520.0,carpet area,3,66.0
Attapur,1365.0,super area,2,45.5
Czech Colony,1650.0,super area,3,140.0
Nizampet,1200.0,carpet area,3,51.7
Balapur,3447.0,super area,3,100.0
Santosh Nagar,420.0,super area,1,25.0
Kukatpally,1125.0,super area,2,55.0
Kondapur,1265.0,super area,2,95.0
Krishna Reddy Pet,1000.0,carpet area,4,98.0
Upparpally,239.0,carpet area,3,67.0
Shaikpet,1700.0,super area,3,110.00000000000001
Anjaneyanagar Colony,990.0,super area,2,60.0
Narsingi,1608.0,super area,3,104.0
Falaknuma,1000.0,carpet area,3,45.0
Toli Chowki,1400.0,super area,3,60.0
Banjara Hills,1430.0,carpet area,3,105.0
Nizampet,2164.0,super area,3,80.0
LB Nagar,1100.0,super area,2,65.0
Gangaram,1615.0,carpet area,3,50.0
Ayyapa Colony,780.0,super area,2,56.0
Balaji Hills Colony,1560.0,super area,3,65.0
Beeramguda,935.0,carpet area,2,39.0
Jubilee Hills,1550.0,carpet area,3,130.0
Manneguda,1134.0,super area,2,46.0
Muppas Panchavati Colony,917.0,super area,2,45.0
Kalimandir,2400.0,carpet area,4,126.0
Mansoorabad,1393.0,carpet area,2,70.0
Himayath Nagar,600.0,carpet area,1,30.0
HMT Swarnapuri Colony,1186.0,carpet area,2,56.0
Huda Complex,850.0,carpet area,2,30.0
Muthangi,150.0,super area,2,65.0
Madinaguda,1720.0,super area,3,68.0
Nallagandla,1635.0,carpet area,3,95.0
,695.0,carpet area,2,25.0
,1353.0,super area,2,65.0
Alkapur Township,1300.0,super area,2,68.0
Golconda Fort,765.0,super area,3,51.0
Patancheru,1200.0,carpet area,2,35.0
Attapur,1050.0,super area,2,50.0
KTR Colony,1308.0,carpet area,2,50.0
Charminar,1100.0,super area,2,44.0
Neknampur,960.0,super area,2,42.0
Kondapur,1530.0,super area,3,89.0
Peerzadiguda,1800.0,super area,3,75.0
Muthangi,150.0,carpet area,2,75.0
Abids,1340.0,super area,2,67.0
Hyder Shah Kote,1870.0,super area,3,65.0
Chanda Nagar,1140.0,carpet area,2,39.0
Ameerpet,980.0,carpet area,2,55.0
Manikonda,1600.0,super area,3,88.0
Bachupally,450.0,carpet area,1,40.0
Pragathi Nagar,1590.0,carpet area,3,65.0
RN Reddy Colony,850.0,carpet area,2,46.5
Chandanagar,950.0,carpet area,2,40.0
Langar Houz,3000.0,super area,6,110.00000000000001
,1395.0,carpet area,3,65.0
Kondapur,1700.0,super area,3,120.0
Toli Chowki,950.0,carpet area,3,58.0
Chandanagar,775.0,carpet area,2,40.0
Kanchan Bagh,1080.0,super area,2,38.0
Abhudaya Nagar Colony,1000.0,carpet area,2,42.0
